arm,opponent,game_index,seat,outcome,end_reason,turns,candidate_prize_remaining,opponent_prize_remaining
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,65,second,win,PRIZES,138,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,66,first,win,PRIZES,156,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,67,second,loss,PRIZES,155,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,68,first,win,PRIZES,161,0,4
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,70,first,win,PRIZES,148,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,69,second,win,PRIZES,137,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,71,second,loss,PRIZES,143,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,72,first,loss,PRIZES,132,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,74,first,loss,PRIZES,125,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,75,second,loss,PRIZES,113,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,73,second,win,PRIZES,150,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,78,first,win,PRIZES,116,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,77,second,loss,PRIZES,122,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,76,first,win,PRIZES,143,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,80,first,win,NO_BENCH,38,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,81,second,win,NO_BENCH,16,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,79,second,win,PRIZES,148,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,83,second,loss,PRIZES,159,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,82,first,loss,PRIZES,124,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,85,second,win,PRIZES,137,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,84,first,loss,PRIZES,125,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,87,second,win,PRIZES,117,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,86,first,win,PRIZES,185,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,88,first,loss,PRIZES,132,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,89,second,win,PRIZES,161,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,90,first,win,PRIZES,180,0,1
