opponent,arm,game_index,seat,outcome
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,65,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,66,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,67,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,68,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,69,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,70,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,71,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,72,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,73,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,74,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,75,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,76,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,77,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,78,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,79,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,80,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,81,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,82,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,83,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,84,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,85,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,86,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,87,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,88,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,89,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,90,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,91,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,92,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,93,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,94,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,95,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,96,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,97,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,98,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,99,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,100,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,101,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,102,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,103,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,104,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,105,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,106,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,107,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,108,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,109,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,110,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,111,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,112,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,113,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,114,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,115,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,116,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,117,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,118,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,119,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,120,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,121,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,122,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,123,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,124,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,125,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,126,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,127,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,128,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,129,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,130,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,131,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,132,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,133,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,134,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,135,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,136,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,137,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,138,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,139,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,140,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,141,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,142,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,143,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,144,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,145,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,146,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,147,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,148,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,149,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,150,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,151,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,152,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,153,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,154,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,155,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,156,first,win
